ValidName,Synonyms
Aeromachus kali,Thanaos kali
Aeromachus matudai,Ampittia matudai
Aeromachus monstrabilus,
Aeromachus musca,Pamphila? musca
Aeromachus piceus,
Aeromachus plumbeola,"Hesperia plumbeola, Aeromachus plumbeolus"
Aeromachus propinquus tali,Aeromachus tali
Aeromachus propinquus,"Syrichthus thibetana, Aeromachus chinensis"
Aeromachus pygmaeus,"Thanaos indistincta, Papilio pygmaeus"
Aeromachus stigmata obsoleta,"Apaustus discreta, Aeromachus spuria, Thanaos obsoleta"
Aeromachus stigmata shanda,"Aeromachus hokowensis, Aeromachus shanda"
Aeromachus stigmata,"Pamphila monilis, Aeromachus soda, Thanaos stigmata"
Aethilla chiapa,
Aethilla echina coracina,"Aethilla primus, Aethilla coracina"
Aethilla echina,Aethilla subviolacea
Aethilla eleusinia,"Aethilla elusinia  , Aethilla eleusonia  , Aethilla eleusina"
Aethilla epicra,"Antigonus oeclydes, Aethilla marialuisa, Aethilla epichra  , Eurypterus oeclides"
Aethilla gigas,"Eurypterus gigas, Aethilla maxima"
Aethilla haber,Eurypterus haber
Aethilla later,Eurypterus later
Aethilla lavochrea,Achlyodes athymnios
Aethilla melas,
Aethilla memmius,"Aethilla rufonigra, Aethilla hahneli, Aethilla memius"
Agathymus alliae paiute,Agathymus paiute
Agathymus alliae,Megathymus alliae
Agathymus aryxna,"Megathymus aryxna, Megathymus drucei"
Agathymus baueri freemani,Agathymus freemani
Agathymus baueri,Megathymus baueri
Agathymus belli,Megathymus belli
Agathymus comstocki,Megathymus comstocki
Agathymus dawsoni,
Agathymus escalantei,
Agathymus estelleae valverdiensis,Agathymus valverdiensis
Agathymus estelleae,Megathymus estelleae
Agathymus evansi,Megathymus evansi
Agathymus fieldi,
Agathymus gentryi,
Agathymus hoffmanni,Megathymus hoffmanni
Agathymus indecisa,Aegiale indecisa
Agathymus juliae,Megathymus juliae
Agathymus mariae chinatiensis,Agathymus chinatiensis
Agathymus mariae gilberti,Agathymus gilberti
Agathymus mariae lajitaensis,Agathymus lajitaensis
Agathymus mariae rindgei,Agathymus rindgei
Agathymus mariae,Megathymus mariae
Agathymus micheneri,
Agathymus neumoegeni carlsbadensis,Megathymus carlsbadensis
Agathymus neumoegeni chisosensis,Megathymus chisosensis
Agathymus neumoegeni diabloensis,Agathymus diabloensis
Agathymus neumoegeni florenceae,Megathymus florenceae
Agathymus neumoegeni judithae,Megathymus judithae
Agathymus neumoegeni mcalpinei,Megathymus mcalpinei
Agathymus neumoegeni,Megathymus neumoegeni
Agathymus polingi,Megathymus polingi
Agathymus remingtoni,Megathymus remingtoni
Agathymus rethon,Megathymus rethon
Agathymus ricei,
Agathymus stephensi,Megathymus stephensi
Aguna albistria leucogramma,"Thymele guatamelaina, Eudamus leucogramma"
Aguna albistria,"Goniurus leucodesma, Goniurus cholus, Goniurus albistria"
Aguna asander haitensis,"Epargyreus haitensis, Aguna jasper"
Aguna asander,"Epargyreus euthymides, Eudamus panthius, Eudamus asander, Eudamus scheba"
Aguna aurunce hypozonius,Goniurus hypozonius
Aguna aurunce,"Goniurus gideon, Eudamus aurunce"
Aguna camagura,Eudamus camagura
Aguna cirrus,Goiniurus viridiaeneus
Aguna claxon,
Aguna clina,
Aguna coeloides,
Aguna coelus,Papilio coelus
Aguna ganna,Thymele ganna
Aguna glaphyrus,"Eudamus glaphyrus, Goiniurus cyanopterus, Aguna? williamsi"
Aguna latifascia,
Aguna latimacula,
Aguna longicauda,
Aguna megaeles malia,Aguna malia
Aguna megaeles,"Eudamus megaeles, Chioides fuscoliva"
Aguna mesodentata,
Aguna metophis,Hesperia metophis
Aguna nicolayi,
Aguna panama,
Aguna parva,
Aguna penicillata,
Aguna similis,
Aguna spatulata,
Aguna spicata,
Aguna squamalba,
Aguna venezuelae,
Aides aegita,"Proteides argyrostactos, Paraides asilas, Proteides callidemas, Hesperia anchora, Hesperia aegita, Paraides callidemas  , Paraides callidanas  , Paraides anchora"
Aides aestria,"Hesperia aestria, Aides aestiva  , Paraides destria"
Aides brilla,Aedes brilla
Aides brino,"Papilio brino, Paraides brino"
Aides duma argyrina,"Aides argyrina, Proteides argyrina, Papilio epitus"
Aides duma,
Aides dysoni,"Aides elara, Aides incantator, Aides dysone  , Paraides dysoni"
Aides ocrinus,"Hesperia ocrinus, Proteides ocrinus  , Paraides ocrinus"
Alenia namaqua,
Alenia sandaster,Pyrgus sandaster
Alera furcata,Perichares triplaga
Alera haworthiana,"Orses iricolor, Hesperia haworthiana"
Alera manu,
Alera metallica,"Perichares zikani, Orses metallica, Perichares aureofasciatus"
Alera romeroi,
Alera vulpina,Hesperia vulpina
Allora doleschallii albertisi,"Ismene dalbertisi, Ismene albertisi, Ismene strophius, Hasora raluana, Ismene sitiva, Hasora infernalis"
Allora doleschallii cristobalensis,Allora cristobalensis
Allora doleschallii gazaka,Ismene gazaka
Allora doleschallii luna,Allora luna
Allora doleschallii simessa,Ismene simessa
Allora doleschallii solon,Allora solon
Allora doleschallii viridicans,Ismene viridicans
Allora doleschallii,Ismene doleschallii
Allora major lectra,Allora lectra
Allora major talesia,Allora talesia
Allora major zita,Allora zita
Allora major,Hasora major
Amblyscirtes aenus erna,Amblyscirtes erna
Amblyscirtes aenus linda,Amblyscirtes linda
Amblyscirtes aenus megamacula,Amblyscirtes megamacula
Amblyscirtes aenus,
Amblyscirtes aesculapius,"Hesperia aesculapius, Hesperia oneko, Hesperia wakulla, Pyrgus textor"
Amblyscirtes alternata,"Amblyscirtes meridionalis, Hesperia alternata"
Amblyscirtes anubis,Mastor anubis
Amblyscirtes belli,
Amblyscirtes brocki,
Amblyscirtes carolina,Pamphila carolina
Amblyscirtes cassus,
Amblyscirtes celia,
Amblyscirtes elissa arizonae,Amblyscirtes arizonae
Amblyscirtes elissa,
Amblyscirtes eos,"Pamphila quinquemacula, Amblyscirtes nilus, Hesperia eos, Hesperia comus"
Amblyscirtes exoteria,"Goniloba exoteria, Chapra marcus, Amblyscirtes nanno"
Amblyscirtes fimbriata pallida,Amblyscirtes pallida
Amblyscirtes fimbriata,"Pamphila bellus, Hesperia fimbriata"
Amblyscirtes florus,"Stomyles florus, Repens repta, Amblyscirtes mate"
Amblyscirtes fluonia,
Amblyscirtes folia,Amblyscirtes tutolia
Amblyscirtes hegon,"Pyrgus argina, Hesperia nemoris, Hesperia samoset, Hesperia hegon"
Amblyscirtes nereus,Pamphila nereus
Amblyscirtes novimmaculatus,
Amblyscirtes nysa,Pamphila similis
Amblyscirtes oslari,Pamphila oslari
Amblyscirtes patriciae,"Moeris patriciae, Amblyscirtes immaculatus"
Amblyscirtes phylace,"Pamphila phylace, Limochroes phylace"
Amblyscirtes raphaeli,
Amblyscirtes reversa,
Amblyscirtes simius,"Amblyscirtes nigra, Amblyscirtes rufa"
Amblyscirtes texanae,
Amblyscirtes tolteca prenda,Amblyscirtes prenda
Amblyscirtes tolteca,
Amblyscirtes vialis,"Cobalus asella, Hesperia vialis"
Amenis pionia picia,Amenis picia
Amenis pionia sandra,Amenis sandra
Amenis pionia,"Amenis similis, Pyrrhopyga pionia"
Amenis ponina,Pyrrhopyga ponina
Amenis rogeri,
Ampittia camertes,"Cyclopides camertes, Thymelicus palemonides"
Ampittia capenas blanda,Ampittia blanda
Ampittia capenas,"Cyclopides derbice, Cyclopides capenas"
Ampittia dalailama jesta,Ampittia jesta
Ampittia dalailama,"Cyclopides dalailama, Taractrocera lyde"
Ampittia dioscorides etura,"Cyclopides etura, Ampittia matsumurai"
Ampittia dioscorides singa,Ampittia singa
Ampittia dioscorides,"Hesperia dioscorides, Hesperia maro, Phemiades ephesus"
Ampittia kilombero,
Ampittia maroides,
Ampittia nanus,Cyclopides nanus
Ampittia parva,
Ampittia sichuanensis,Ampittia sichunanensis
Ampittia trimacula,"Ampittia reducta, Taractrocera trimacula"
Ampittia tristella,
Ampittia virgata myakei,"Ampittia formosana, Ampittia arisana, Ampittia myakei"
Ampittia virgata,Pamphila virgata
Amysoria galgala,"Tamyris strigifera, Pyrrhopyga galgala, Amysoria galgola  , Pyrrhopyge galgula  , Mysoria galgala"
Anastrus chaqua,
Anastrus isidro,
Anastrus meliboea bactra,Anastrus bactra
Anastrus meliboea,Gorgophone meliboea
Anastrus neaeris narva,Anastrus narva
Anastrus neaeris,Achlyodes neaeris
Anastrus obliqua,Antigonus obliqua
Anastrus obscurus,"Talides obscurus, Achlyodes obscura"
Anastrus peruvianus,Eurypterus peruvianus
Anastrus petius peto,Anastrus peto
Anastrus petius,Pellicia petius
Anastrus sempiternus dilloni,Echelatus dilloni
Anastrus sempiternus simplicior,"Echelatus diversus, Antigonus simplicior, Antigonus alburnea, Antigonus luctuosa, Pellicia simplicior"
Anastrus sempiternus,"Anastrus varius, Achlyodes sempiternus, Echelatus sempiternus"
Anastrus tolimus robigus,"Anastrus subchalybeus, Echelatus depenicillus, Echelatus luctuosus, Antigonus patens, Antigonus robigus"
Anastrus tolimus,"Anastrus polyaenus, Antigonus tolimus"
Anastrus ulpianus,"Hesperia labeo, Hesperia ulpianus, Hesperia austera, Achlyodes rossine, Achlyodes rosina  , Achlyodes ulpianus"
Anastrus virens albopannus,Anastrus albopannus
Anastrus virens,
Anatrytone barbara,"Mellana villa, Atrytone barbara"
Anatrytone flavens,Atrytone flavens
Anatrytone logan lagus,Pamphila lagus
Anatrytone logan,"Hesperia delaware, Hesperia logan"
Anatrytone mazai,Atrytone mazai
Anatrytone mella,Atrytone mella
Anatrytone perfida,"Atrytone gladolis, Pamphila perfida"
Anatrytone potosiensis,Atrytone potosiensis
Anatrytone sarah,
Ancistroides armatus niasana,Kerana niasana
Ancistroides armatus,Astictopterus armatus
Ancistroides gemmifer dombya,Kerana dombya
Ancistroides gemmifer dorna,Ancistroides dorna
Ancistroides gemmifer,Astictopterus gemmifer
Ancistroides longicornis,Ismene boisduvalii
Ancistroides nigrita diocles,Nisoniades diocles
Ancistroides nigrita fumatus,"Tagiades fumatus, Kerana prabha"
Ancistroides nigrita maura,"Kerana evaira, Kerana savara, Kerana sumata, Tagiades maura"
Ancistroides nigrita,"Kerana vasuba, Hesperia nigrita"
Ancistroides othonias,Astictopterus othonias
Ancyloxypha arene,"Copaeodes myrtis, Apaustus euphrasia, Apaustus leporina, Thymelicus isidorus, Heteropterus arene"
Ancyloxypha aurea,
Ancyloxypha dryas,
Ancyloxypha melanoneura,
Ancyloxypha nitedula,"Thymelicus nitedula, Thymelicus nitidula, Thymelicus tucumanus"
Ancyloxypha numitor,"Ancyloxypha longleyi, Hesperia numitor, Hesperia bion, Heteropterus marginatus, Thymelicus puer"
Ancyloxypha ramba,
Andronymus bjornstadi,
Andronymus caesar philander,Pamphila philander
Andronymus caesar,"Hesperia caesar, Andronymus antonius, Apaustus leander"
Andronymus evander,Carystus evander
Andronymus fenestrella,Pardaleodes alenica
Andronymus fontainei,
Andronymus gander,
Andronymus helles,
Andronymus hero,
Andronymus marcus,
Andronymus marina,
Andronymus neander thomasi,Andronymus thomasi
Andronymus neander,"Andronymus torosa, Ancyloxypha producta, Apaustus neander"
Anisochoria albida alco,Anisochoria alco
Anisochoria albida,Anisochoria bimaculata
Anisochoria bacchus,Anisochoria bachus
Anisochoria minorella verda,Anisochoria verda
Anisochoria minorella,
Anisochoria nadia,
Anisochoria pedaliodina extincta,Anisochoria extincta
Anisochoria pedaliodina polysticta,"Anisochoria polysticta, Achlyodes lemur"
Anisochoria pedaliodina,"Anisochoria oligosticta, Helias pedaliodina"
Anisochoria quadrifenestrata,"Dicrosema quadrifenestrata, Anisochoria bahia"
Anisochoria sublimbata,"Anisochoria parvipuncta, Tagiades bibiana, Anisochoria palpalis, Helias quilmeri, Anisochoria papalis"
Anisochoria subpicta,Anisochosia subpicta
Anisochoria superior,
Anisochoria vianna,Anisochoria staudingeri
Anisynta cynone gunneda,Anisynta gunneda
Anisynta cynone,"Cyclopides cynone, Anisynta grisea, Hesperilla gracilis"
Anisynta dominula pria,Motasingha pria
Anisynta dominula,"Telesto drachmophora, Anisynta draco, Anisynta dyris, Telesto dominula"
Anisynta monticolae,Hesperilla monticolae
Anisynta sphenosema,"Trapezites paraphaes, Trapezites sphenosema"
Anisynta tillyardi,
Ankola fan,"Pardaleodes kamagamba, Osmodes? fan, Pardaleodes scalaris, Osmodes fan"
Anthoptus epictetus,"Cobalus nigritulus, Hesperia epictetus, Padraona epictatus  , Anthoptus epictelus  , Anthoptus epictotus  , Padraona epictetus"
Anthoptus inculta,Padraona inculta
Anthoptus insignis,"Hesperia insignis, Nastra insignis"
Anthoptus macalpinei,
Anthoptus maracanae,"Pothantus maracanae, Potanthus maracanae  , Anthoptus maracannae"
Antigonus corrosus,"Antigonus sericus, Antigonus corosus  , Systasea corrosa"
Antigonus decens,Echelatus brasilicola
Antigonus emorsa,"Systasea albimedia, Leucochitonea emorsa, Systasea emorsa  , Ephyriades emorsa"
Antigonus erosus,"Hesperia westermann, Urbanus erosus, Achlyodes westermanni  , Antigonus irosus  , Systasea erosa"
Antigonus funebris,"Leucochitonea funebris, Systasea funebris"
Antigonus liborius areta,Antigonus areta
Antigonus liborius,
Antigonus minor,
Antigonus mutilatus,"Antigonus excisus, Achlyodes mutilatus  , Antigonus mutillatus"
Antigonus nearchus,"Achlyodes pausus, Antigonus ustus, Hesperia nearchus, Chaetoneura hippalus, Chaetoneura sataspes, Antigonus pausus  , Chaetoneura nearcho  , Antigonus hippulus  , Antigonus paustus  , Antigonus salaspes"
Antipodia atralba,"Hesperilla atralba, Motasingha atralba"
Antipodia chaostola chares,Hesperilla chares
Antipodia chaostola lucophaea,Hesperilla leucophaea
Antipodia chaostola,Telesto chaostola
Antipodia dactyliota nila,Motasingha nila
Antipodia dactyliota,"Telesto dactyliota, Motasingha anaces, Motasingha anapus"
Apallaga abriana,
Apallaga adora,
Apallaga alluaudi,Celaenorrhinus alluaudi
Apallaga ankasa warreni,Apallaga warreni
Apallaga ankasa,Celaenorrhinus ankasa
Apallaga ashanti,
Apallaga aureus,Celaenorrhinus aureus
Apallaga bakolo,Celaenorrhinus bakolo
Apallaga belcastroi,
Apallaga beni centralis,Apallaga centralis
Apallaga beni,Celaenorrhinus beni
Apallaga bergeri,
Apallaga biseriata maculata,"Coladenia maculata, Plesioneura hoehneli, Celaenorrhinus handmani, Celaenorrhinus bryki"
Apallaga biseriata reducta,Apallaga reducta
Apallaga biseriata,Plesioneura biseriata
Apallaga boadicea howarthi,Celaenorrhinus howarthi
Apallaga boadicea,"Pterygospidea boadicea, Pardaleodes atratus, Celaenorhinus collucens, Celaenorhinus lucens, Celaenorrhinus atratus  , Celaenirhinus collucens  , Pardaleodes lucens"
Apallaga brattstromi,
Apallaga chrysoglossa,"Celaenorhinus ploetzi, Ancistrocampa chrysoglossa"
Apallaga confusa,
Apallaga cordeironis,Celaenorrhinus cordeironis
Apallaga cuypersi,
Apallaga darlustris,
Apallaga daroa,Celaenorrhinus daroa
Apallaga ducarmei,
Apallaga elongata,
Apallaga evansi,Celaenorrhinus evansi
Apallaga fulgens magna,Apallaga magna
Apallaga fulgens montanus,Apallaga montanus
Apallaga fulgens,Pardaleodes fulgens
Apallaga galenus,"Celaenorrhinus jeanneli, Hesperia galenus, Celaenorhinus bryki"
Apallaga galkasa,
Apallaga ghanaensis,
Apallaga hecqui,Celaenorrhinus hecqui
Apallaga homeyeri fracta,Apallaga fracta
Apallaga homeyeri kiellandi,Apallaga kiellandi
Apallaga homeyeri,Tagiades homeyeri
Apallaga illustris,"Pardaleodes illustris, Celaenorrhinus abbreviata"
Apallaga incredibilis,
Apallaga inexpectata,
Apallaga intermixtus,Celaenorrhinus intermixtus
Apallaga jacksoni,
Apallaga jacquelinae michelae,Apallaga michelae
Apallaga jacquelinae,Celaenorrhinus jacquelinae
Apallaga kakamegae,
Apallaga kasai kapangana,Celaenorrhinus kapangana
Apallaga kasai,Celaenorrhinus kasai
Apallaga katangensis eala,Apallaga eala
Apallaga katangensis minor,Apallaga minor
Apallaga katangensis,"Celaenorrhinus overlaeti, Celaenorrhinus katangensis"
Apallaga kimboza,Celaenorrhinus kimboza
Apallaga kivuensis,Celaenorrhinus kivuensis
Apallaga leona,Celaenorrhinus leona
Apallaga lourentis,Celaenorrhinus lourentis
Apallaga maiana,
Apallaga meditrina,"Pterygospidea meditrina, Pardaleodes interniplaga, Celaenorrhinus illustroides, Celaenorrhinus illnstroides"
Apallaga medustris,
Apallaga menageshae,
Apallaga milleri,Celaenorrhinus milleri
Apallaga minuta,
Apallaga mokeezi separata,Apallaga separata
Apallaga mokeezi,"Pterygospidea mokeezi, Hesperia amaponda"
Apallaga mona,Celaenorrhinus mona
Apallaga occidentalis,
Apallaga opalinus,Celaenorrhinus opalinus
Apallaga oreas,
Apallaga orientalis,
Apallaga ovalis obsoleta,Apallaga obsoleta
Apallaga ovalis,Celaenorrhinus ovalis
Apallaga ovastris,
Apallaga perconfusa,
Apallaga perlustris,Celaenorrhinus perlustris
Apallaga pooanus obscuripennis,Celaenorrhinus obscuripennis
Apallaga pooanus,Celaenorrhinus pooanus
Apallaga rodolphi,
Apallaga rubeho,Celaenorrhinus rubeho
Apallaga rutilans banguianus,Apallaga banguianus
Apallaga rutilans,"Pterygospidea tergemira, Plesioneura rutilans, Tagiades woermanni"
Apallaga rwandae,
Apallaga safiani,
Apallaga sanjeensis,Celaenorrhinus sanjeensis
Apallaga selysi,Celaenorrhinus selysi
Apallaga stewarti,
Apallaga suzannae,Celaenorrhinus suzannae
Apallaga uluguru,Celaenorrhinus uluguru
Apallaga vandeweghei,
Apallaga vicariana,
Apaustus gracilis smarti,Apaustus smarti
Apaustus gracilis,"Callimormus dimidiatus, Ancyloxypha gracilis, Callimormus gracilis"
Apaustus menes,Papilio menes
Apaustus radiatus,Apaustus howarthi
Apostictopterus fuliginosus curiosa,Tecupa curiosa
Apostictopterus fuliginosus jiangxiensis,Apostictopterus jiangxiensis
Apostictopterus fuliginosus,
Appia appia,
Apyrrothrix araxes arizonae,Pyrrhopyge arizonae
Apyrrothrix araxes,"Erycides araxes, Pyrrhopyga cyrillus"
Ardaris eximia hantra,Ardaris hantra
Ardaris eximia,Pyrrhopyga eximia
Argon lota,"Hesperia lota, Pamphila cerymicoides, Carystus argus, Pamphila gerymicoides  , Cobalus ceramicoides  , Argon aegus  , Cobalus argus  , Argon argus  , Carystoides lota"
Argopteron aureipennis,"Steropes flavimargo, Steropes tripunctatus, Argopteron aysense, Argopteron haywardi, Argopteron reductulum, Steropes aureipennis, Argopteron aureipenne  , Argopteron flavomargo"
Argopteron aureum,Argopteron aercum
Argopteron puelmae,Cyclopides puelmae
Arita arita,"Tigasis akuris, Thoon wellingi, Cobalus arita, Cobalopsis musa, Tigasis akurus"
Arita mubevensis,Cobalus mubevensis
Arita polistion,"Lerodea remea, Megistias polistion"
Arita serra,
Arnetta atkinsoni sinensis,Arnetta sinensis
Arnetta atkinsoni,"Pedestes parnaca, Isoteinon khasianus, Isoteinon atkinsoni, Isoteinon subtestaceus"
Arnetta ellipsis,"Cyclopides idis, Cyclopides mirza, Hesperia ellipsis"
Arnetta fito,
Arnetta hyposticta,Galerga hyposticta
Arnetta mercara,Astictopterus mercara
Arnetta verones,"Astictopterus verones, Arnetta kala"
Arnetta vindhiana nilgiriana,Isoteinon nilgiriana
Arnetta vindhiana,"Isoteinon vindhiana, Isoteinon vindiana"
Aroma aroma,"Hesperia aroma, Thracides aroma"
Aroma henricus balba,Aroma balba
Aroma henricus,"Telegonus henricus, Telegonus mardonius, Thracides henricus"
Arotis bryna,Euphyes bryna
Arotis derasa brunnea,Euphyes brunnea
Arotis derasa tuba,Euphyes tuba
Arotis derasa,"Pamphila gagatina, Cobalus derasa, Mnasalcas amatala, Euphyes derasa"
Arotis evansi,Euphyes evansi
Arotis kayei,"Oenus kayei, Arotis kafei"
Arotis mapirica,Moeris mapirica
Arotis pandora,"Pereneia pandora, Mnasitheus similis"
Arotis sirene,
Arrhenes dschilus decor,Arrhenes decor
Arrhenes dschilus iris,Padraona iris
Arrhenes dschilus,"Apaustus colattus, Apaustus dschilus, Arrhenes colattus  , Arrhenes klossii"
Arrhenes elena,
Arrhenes floresia,
Arrhenes germana,Telicota germana
Arrhenes marnas affinis,Ocybadistes affinis
Arrhenes marnas jopas,Pamphila jopas
Arrhenes marnas,"Telicota dipavansa, Pamphila grandis, Pamphila marnas, Ocybadistes marnas  , Suniana marnas  , Arrhenes dipavansa  , Arrhenes simillima"
Arrhenes martha,
Arrhenes tranquilla,"Padraona tranquilla, Telicota terranea"
Arrhenes vitta,Padraona simillima
Arrhenes waigensis,Telicota klossi
Arteurotia tractipennis contractipennis,Arteurotia contractipennis
Arteurotia tractipennis,Helias? ribbei
Artines acroleuca,Apaustus acroleuca
Artines aepitus,"Artines atizies, Thracides aepitus, Artines aepetus"
Artines aquilina,"Artines tertius, Pamphila barbara, Hesperia aquilina"
Artines bipunctata,
Artines focus,
Artines fosca,
Artines rica,
Artines satyr,
Artines tobiasi,
Artines trogon,Phanes trogon
Artitropa alaotrana,
Artitropa boseae,"Hesperia boseae, Proteides aaron"
Artitropa cama,
Artitropa comus,"Proteides margaritata, Hesperia ennius, Papilio helops, Papilio comus"
Artitropa erinnys comorarum,Artitropa comorarum
Artitropa erinnys ehlersi,"Artitropa ehlersi, Artitropa unifasciata"
Artitropa erinnys nyasae,Artitropa nyasae
