ValidName,Synonyms
Eumedonia persephatta,"Lycaena persephatta, Lycaena minuta"
Euphilotes ancilla barnesi,Euphilotes barnesi
Euphilotes ancilla cryptica,Euphilotes cryptica
Euphilotes ancilla gilvatunica,Euphilotes gilvatunica
Euphilotes ancilla giulianii,Euphilotes giulianii
Euphilotes ancilla pseudointermedia,Euphilotes pseudointermedia
Euphilotes ancilla purpura,Euphilotes purpura
Euphilotes ancilla shieldsi,Euphilotes shieldsi
Euphilotes ancilla,Philotes ancilla
Euphilotes battoides allyni,Shijimiaeoides allyni
Euphilotes battoides argocyanea,Euphilotes argocyanea
Euphilotes battoides australoglaucon,Euphilotes australoglaucon
Euphilotes battoides fusimaculata,Euphilotes fusimaculata
Euphilotes battoides mazourka,Euphilotes mazourka
Euphilotes battoides panamintensis,Euphilotes panamintensis
Euphilotes battoides,"Lycaena battoides, Rusticus battoides  , Philotes battoides  , Rusticus glaucon  , Philotes glaucon"
Euphilotes baueri orientis,Euphilotes orientis
Euphilotes baueri vernalis,Euphilotes vernalis
Euphilotes baueri,Shijimiaeoides baueri
Euphilotes bernardino garthi,Euphilotes garthi
Euphilotes bernardino inyomontana,Euphilotes inyomontana
Euphilotes bernardino martini,Philotes martini
Euphilotes bernardino minuta,Euphilotes minuta
Euphilotes bernardino,"Philotes bernardino, Philotes baldyensis"
Euphilotes columbiae,Philotes columbiae
Euphilotes ellisii avawatz,Euphilotes avawatz
Euphilotes ellisii basinensis,Euphilotes basinensis
Euphilotes ellisii euromojavensis,Euphilotes euromojavensis
Euphilotes ellisii,Shijimiaeoides ellisii
Euphilotes enoptes arenacola,Euphilotes arenacola
Euphilotes enoptes aridorum,Euphilotes aridorum
Euphilotes enoptes bayensis,Philotes bayensis
Euphilotes enoptes cryptorufes,Euphilotes cryptorufes
Euphilotes enoptes dammersi,Philotes dammersi
Euphilotes enoptes langstoni,Shijimiaeoides langstoni
Euphilotes enoptes opacapulla,Euphilotes opacapulla
Euphilotes enoptes primavera,Euphilotes primavera
Euphilotes enoptes smithi,Philotes smithi
Euphilotes enoptes tildeni,Philotes tildeni
Euphilotes enoptes,Lycaena enoptes
Euphilotes glaucon anasazi,Euphilotes anasazi
Euphilotes glaucon centralis,Philotes centralis
Euphilotes glaucon comstocki,Shijimiaeoides comstocki
Euphilotes glaucon hadrochilus,Euphilotes hadrochilus
Euphilotes glaucon intermedia,"Philotes malcolmi, Philotes intermedia"
Euphilotes glaucon oregonensis,Philotes oregonensis
Euphilotes glaucon,Lycaena glaucon
Euphilotes mojave virginensis,Euphilotes virginensis
Euphilotes mojave,Philotes mojave
Euphilotes pallescens arenamontana,Euphilotes arenamontana
Euphilotes pallescens calneva,Euphilotes calneva
Euphilotes pallescens confusa,Euphilotes confusa
Euphilotes pallescens elvirae,Philotes elvirae
Euphilotes pallescens mattonii,Shijimiaeoides mattonii
Euphilotes pallescens ricei,Euphilotes ricei
Euphilotes pallescens,Philotes pallescens
Euphilotes rita coloradensis,Philotes coloradensis
Euphilotes rita emmeli,Euphilotes emmeli
Euphilotes rita,Lycaena rita
Euphilotes spaldingi pinjuna,Euphilotes pinjuna
Euphilotes spaldingi,Philotes spaldingi
Euphilotes stanfordorum,
Euthecta cooksoni marginata,Euthecta marginata
Euthecta cooksoni subgrisea,Euthecta subgrisea
Euthecta cooksoni,
Euthecta cordeiroi,
Evenus batesii,"Thecla batesii, Thecla teresina, Ipocia claudia, Theritas batesii  , Evenus batesi"
Evenus candidus,"Thecla candidus, Thecla cuprea, Thecla gloriosa, Theritas candidus  , Poetukulunma candidus"
Evenus coronata,"Thecla watkinsi, Thecla coronata, Theritas coronata"
Evenus felix,
Evenus floralia,"Thecla floralia, Thecla tagyroides"
Evenus gabriela,"Polyommatus gabriel, Thecla boyi, Papilio gabrielis, Papilio gabriela, Thecla gabriela  , Theritas gabriela"
Evenus latreillii,"Thecla latreillii, Cryptaenota latreillii"
Evenus regalis,"Papilio regalis, Thecla regalis  , Theritas regalis"
Evenus satyroides,"Thecla aganippe, Thecla arachne, Thecla satyroides, Macusia satyroides"
Evenus sponsa,"Thecla ornatrix, Thecla sponsa, Theritas ornatrix  , Poetukulunma sponsa"
Evenus sumptuosa,"Thecla sumptuosa, Theritas sumptuosa  , Poetukulunma sumptuosa"
Evenus tagyra,"Thecla tagyra, Theritas tagyra  , Poetukulunma tagyra"
Evenus temathea,Thecla temathea
Exorbaetta metanira,"Thecla metanira, Siderus metanira"
Falcuna campimus dilatata,Liptena dilatata
Falcuna campimus,Larinopoda campimus
Falcuna dorotheae,
Falcuna gitte,
Falcuna hollandii nigricans,Falcuna nigricans
Falcuna hollandii suffusa,Falcuna suffusa
Falcuna hollandii,Liptena hollandii
Falcuna iturina,Falcuna semliki
Falcuna kasai,
Falcuna lacteata,
Falcuna leonensis,
Falcuna libyssa angolensis,Falcuna angolensis
Falcuna libyssa cameroonica,Falcuna cameroonica
Falcuna libyssa,"Liptena libyssa, Libtena libyssa"
Falcuna lybia,Larinopoda lybia
Falcuna margarita,"Liptena latemarginata, Liptena margarita"
Falcuna melandeta,Larinopoda melandeta
Falcuna orientalis bwamba,Falcuna bwamba
Falcuna orientalis,"Liptena orientalis, Liptena confluens"
Falcuna overlaeti,
Falcuna reducta,
Falcuna synesia fusca,Falcuna fusca
Falcuna synesia gabonensis,Falcuna gabonensis
Falcuna synesia,"Falcuna landana, Liptena synesia"
Famegana alsulus eggletoni,Zizeria eggletoni
Famegana alsulus kalawarus,Zizera kalawarus
Famegana alsulus lulu,Lycaena lulu
Famegana alsulus taiwana,Zizera taiwana
Famegana alsulus,"Lycaena exiloides, Lycaena alsulus"
Feniseca tarquinius novascotiae,Feniseca novascotiae
Feniseca tarquinius,"Hesperia tarquinius, Polyommatus crataegi, Feniseca suffusa, Polyommatus porsenna"
Flos adriana,Nilasera? adriana
Flos anniella artegal,Flos artegal
Flos anniella malangana,Amblypodia malangana
Flos anniella,"Arhopala husaina, Amblypodia anniella, Arhopala triangularis"
Flos apidanus ahamus,Flos ahamus
Flos apidanus arahat,Arhopala arahat
Flos apidanus himna,Arhopala himna
Flos apidanus palawanus,Amblypodia palawanus
Flos apidanus saturata,"Arhopala berossus, Arhopala kartaphilus, Arhopala viribus, Lycaena saturata"
Flos apidanus xisuthrus,Arhopala xisuthrus
Flos apidanus,"Papilio dorimond, Arhopala antipaxus, Arhopala cames, Amblypodia alter, Papilio apidanus, Amblypodia apidanus"
Flos arca,Arhopala arca
Flos areste,"Satadra patuna, Amblypodia arestina, Amblypodia areste"
Flos asoka,"Arhopala vaya, Satadra chola, Nilasera? asoka"
Flos chinensis insularis,Flos insularis
Flos chinensis,"Satadra lazula, Nilasera? moelleri, Arhopala chinensis"
Flos diardi capeta,"Arhopala almansor, Arhopala amha, Arhopala asatha, Amblypodia capeta"
Flos diardi imperiosa,Arhopala imperiosa
Flos diardi menglunensis,Flos menglunensis
Flos diardi,"Amblypodia diardi, Arhopala diardi"
Flos fulgida singhapura,"Arhopala batis, Arhopala tenea, Arhopala tifata, Arhopala zohar"
Flos fulgida zilana,Arhopala zilana
Flos fulgida,"Amblypodia fulgida, Arhopala fulgida"
Flos iriya,Arhopala iriya
Flos kuehni,"Amblypodia kuehni, Arhopala lompana"
Flos morphina sidicina,Arhopala sidicina
Flos morphina,Panchala morphina
Flos phalakron,"Arhopala phalakron, Amblypodia anabas, Amblypodia anthracophila, Amblypodia astrophila, Amblypodia ambigua"
Flos yunnanensis,
Freyeria minuscula,Cupido minuscula
Freyeria putli,"Lycaena putli, Lycaena gnoma"
Freyeria trochylus formosanus,Chiliades formosanus
Freyeria trochylus orientalis,Freyeria orientalis
Freyeria trochylus persa,Chilades persa
Freyeria trochylus,"Chilades subtusobsoleta, Chilades supraradiata, Chilades albolunulata, Chilades pauper, Chilades grisea, Chilades mandersi, Lycaena trochylus, Lycaena trochilus, Lycaena parva, Freyeria obscura"
Gargina caninius,Thecla caninius
Gargina emessa,"Thecla watsoni, Thecla emessa, Thecla legytha, Thecla trinitatis, Asymbiopsis bulbis, Strymon additionalis, Thecla additionalis"
Gargina gargophia,"Thecla orios, Thecla viola, Thecla gargophia, Thecla pharus, Thecla radiatio, Nicolaea honduriana"
Gargina gnosia,"Thecla gnosia, Thecla nugar, Thecla literatus"
Gargina humber,Thecla humber
Gargina panchaea,Thecla panchaea
Gargina thoria,Thecla thoria
Gargina thyesta,Thecla thyesta
Geritola albomaculata,Epitola albomaculata
Geritola amieti,
Geritola concepcion,Epitola concepcion
Geritola cyanea,Epitola cyanea
Geritola daveyi,Epitola daveyi
Geritola dubia,Epitola dubia
Geritola frankdaveyi,
Geritola gerina,Epitola gerina
Geritola goodii,"Epitola goodii, Epitola goodi"
Geritola jackiana,
Geritola lamborni,Epitola lamborni
Geritola larae,
Geritola liana,Epitola liana
Geritola mirifica,"Epitola mirifica, Epitolia mirifica"
Geritola nitide,"Epitola nitide, Epitola nitida"
Geritola nitidica,
Geritola pacifica,
Geritola prouvosti,
Geritola virginea,Epitola virginea
Geritola wardi,
Geritola zelica,"Epitola zelica, Epitola subalba"
Glabroculus cyane deserticola,Lycaena deserticola
Glabroculus cyane ella,Lycaena ella
Glabroculus cyane maxima,Lycaena maxima
Glabroculus cyane tarbagata,Lycaena tarbagata
Glabroculus cyane,"Lycaena cyane, Lycaena kozhantshikovi, Plebejidea cyane  , Agrodiaetus cyane  , Polyommatus cyane"
Glabroculus elvira hanusi,Polyommatus hanusi
Glabroculus elvira,"Lycaena elvira, Agrodiaetus elvira  , Plebejidea elvira"
Glaucopsyche aeruginosa memorabilis,Glaucopsyche memorabilis
Glaucopsyche aeruginosa tshatkala,Albulina tshatkala
Glaucopsyche aeruginosa,Lycaena aeruginosa
Glaucopsyche alexis,"Lycaena agestoides, Papilio dimus, Papilio phobus, Lycaena subtusmaculisextensis, Lycaena subtusobscurior, Lycaena subtuspartimpunctata, Papilio damaetas, Lycaena blachieri, Lycaena schneideri, Lycaena coeca, Glaucopsyche maritimalpium, Glaucopsyche melanoposmater, Glaucopsyche subpauper, Lycaena ambigua, Glaucopsyche pauperella, Glaucopsyche privata, Glaucopsyche meeloni, Lycaena azurea, Lycaena lugens, Glaucopsyche completa, Glaucopsyche pauper, Glaucopsyche parvandereggi, Glaucopsyche mironi, Glaucopsyche basibipuncta, Glaucopsyche naevusnanus, Glaucopsyche antolinezi, Glaucopsyche helena, Glaucopsyche lopedevega, Glaucopsyche morena, Glaucopsyche superornata, Glaucopsyche viriato, Glaucopsyche albata, Lycaena valenzae, Papilio bronte, Lycaena sublugens, Glaucopsyche caerulescens, Glaucopsyche mirabilis, Glaucopsyche tenuimarginata, Glaucopsyche violacea, Lycaena insulicola, Lycaena latina, Lycaena nana, Lycaena ambiguata, Papilio cyllarus, Lycaena stigmatosa, Glaucopsyche velada, Lycaena andereggi, Glaucopsyche selene, Glaucopsyche kopetdaghensis, Polyommatus dubius, Lycaena elongatus, Lycaena tristis, Glaucopsyche subalexis, Lycaena mitterbergeri, Lycaena pseudocharybdis"
Glaucopsyche argali arkhar,Glaucopsyche arkhar
Glaucopsyche argali chingiz,Glaucopsyche chingiz
Glaucopsyche argali,Lycaena argali
Glaucopsyche astraea eckweileri,Glaucopsyche eckweileri
Glaucopsyche astraea,"Lycaena astraea, Lycaena astrea"
Glaucopsyche charybdis,"Lycaena exuta, Lycaena charybdis"
Glaucopsyche hazeri,
Glaucopsyche laetifica,Lycaena laetifica
Glaucopsyche lycormas lederi,Lycaena lederi
Glaucopsyche lycormas scylla,Lycaena scylla
Glaucopsyche lycormas sumpantingi,Lycaena sumpantingi
Glaucopsyche lycormas tomariana,Lycaena tomariana
Glaucopsyche lycormas,"Lycaena paucimaculosus, Lycaena lada, Polyommatus lycormas"
Glaucopsyche lygdamus afra,Lycaena afra
Glaucopsyche lygdamus arizonensis,Glaucopsyche arizonensis
Glaucopsyche lygdamus australis,"Lycaena orcus, Glaucopsyche sinepunctata, Glaucopsyche australis"
Glaucopsyche lygdamus columbia,Lycaena columbia
Glaucopsyche lygdamus couperi,"Glaucopsyche couperi, Glaucopsyche mcdunnoughi"
Glaucopsyche lygdamus deserticola,Glaucopsyche deserticola
Glaucopsyche lygdamus erico,Glaucopsyche erico
Glaucopsyche lygdamus guleomini,Glaucopsyche guleomini
Glaucopsyche lygdamus incognitus,"Glaucopsyche sternitzkyi, Glaucopsyche incognitus"
Glaucopsyche lygdamus jacki,Glaucopsyche jacki
Glaucopsyche lygdamus kurnakovi,Lycaena kurnakovi
Glaucopsyche lygdamus maritima,
Glaucopsyche lygdamus mildredae,Glaucopsyche mildredae
Glaucopsyche lygdamus minipunctum,Glaucopsyche minipunctum
Glaucopsyche lygdamus nittanyensis,"Glaucopsyche nittanyensis, Glaucopsyche boydi"
Glaucopsyche lygdamus oro,"Nomiades oro, Glaucopsyche leussleri"
Glaucopsyche lygdamus palosverdesensis,Glaucopsyche palosverdesensis
Glaucopsyche lygdamus pseudoxerces,Glaucopsyche pseudoxerces
Glaucopsyche lygdamus ruidoso,Glaucopsyche ruidoso
Glaucopsyche lygdamus sabulosa,Glaucopsyche sabulosa
Glaucopsyche lygdamus xerces,"Lycaena polyphemus, Lycaena antiacis, Lycaena xerces, Glaucopsyche intermedia, Glaucopsyche barnesi, Glaucopsyche huguenini, Lycaena behrii, Lycaena mertila"
Glaucopsyche lygdamus,Polyommatus lygdamus
Glaucopsyche melanops algirica,
Glaucopsyche melanops,"Lycaena fascita, Lycaena subtuspartimimpunctata, Lycaena unipuncta, Lycaena fascista, Glaucopsyche boursini, Glaucopsyche ocellata, Scolitantides diversa, Glaucopsyche justoi, Glaucopsyche minuscula, Glaucopsyche arcasi, Glaucopsyche bamba, Glaucopsyche cantabra, Lycaena mediopunctata, Lycaena alluaudi, Polyommatus melanops, Lycaena wheeleri, Argus marchandii, Papilio saportae, Glaucopsyche loechensis, Glaycopsyche grisobsoleta, Apelles williamsi"
Glaucopsyche paphos,
Glaucopsyche piasus daunia,Lycaena daunia
Glaucopsyche piasus excubita,Glaucopsyche excubita
Glaucopsyche piasus gabrielina,Glaucopsyche gabrielina
Glaucopsyche piasus nevada,Glaucopsyche nevada
Glaucopsyche piasus sagittigera,"Lycaena rhaea, Phaedrotes gorgonioi, Lycaena sagittigera"
Glaucopsyche piasus toxeuma,Glaucopsyche toxeuma
Glaucopsyche piasus umbrosa,Glaucopsyche umbrosa
Glaucopsyche piasus,"Lycaena piasus, Lycaena catalina, Lycaena lorquini, Lycaena viaca"
Glaucopsyche safidensis,Agrodiaetus safidensis
Glaucopsyche seminigra,
Gonerilia buddha,
Gonerilia comes kachinensis,Cordelia kachinensis
Gonerilia comes,"Dipsas comes, Cordelia jinfoshanensis"
Gonerilia kitawakii,Cordelia kitawakii
Gonerilia koizumii,Cordelia koizumii
Gonerilia minerva,"Dipsas minerva, Thecla minerva"
Gonerilia okamurai,Gonerilla okamurai
Gonerilia pesthis,Gonerilla pesthis
Gonerilia seraphim kimurai,Gonerilia kimurai
Gonerilia seraphim mekong,Gonerilia mekong
Gonerilia seraphim,"Thecla seraphim, Gonerilia seraphium"
Gonerilia thespis sichuanica,Gonerilia sichuanica
Gonerilia thespis,"Dipsas thespis, Thecla thespis  , Cordelia thespis"
Gonerilia wilemaniella,Zephyrus wilemaniella
Habrodais grunus herri,Habrodais herri
Habrodais grunus lorquini,"Habrodais chloris, Habrodais lorquini"
Habrodais grunus,"Thecla grunus, Dipsas grunus"
Habrodais poodiae browni,Habrodais browni
Habrodais poodiae,
Harpendyreus aequatorialis vulcanica,Cyclirius vulcanica
Harpendyreus aequatorialis,"Lycaena aequatorialis, Cyclyrius sharpiae"
Harpendyreus argenteostriatus,Harpendyreus collinsi
Harpendyreus berger,
Harpendyreus boma,Cyclyrius boma
Harpendyreus hazelae,
Harpendyreus juno,Cyclyrius juno
Harpendyreus kisaba,"Catochrysops kisaba, Cyclirius ruandensis"
Harpendyreus major,Cyclirius major
Harpendyreus marlieri,
Harpendyreus marungensis mangalisae,Harpendyreus mangalisae
Harpendyreus marungensis wollastoni,Cyclyrius wollastoni
Harpendyreus marungensis,Cyclirius marungensis
Harpendyreus meruana,"Cupido meruana, Cupido juno"
Harpendyreus noquasa,Lycaena noquasa
Harpendyreus notoba,Lycaena notoba
Harpendyreus reginaldi,
Harpendyreus tsomo,Lycaena tsomo
Hayashikeia courvoisieri,Thecla courvoisieri
Hayashikeia florianii cheni,Teratozephyrus cheni
Hayashikeia florianii,Teratozephyrus florianii
Hayashikeia koizumii,Chrysozephyrus koizumii
Hayashikeia sugiyamai cyanea,Howarthia cyanea
Hayashikeia sugiyamai,"Howarthia sugiyamai, Howarthia choui"
Hayashikeia ueharai,Howarthia ueharai
Heliophorus androcles rubida,"Heliophorus gemma, Heliophorus rubida"
Heliophorus androcles trilunulata,Heliophorus trilunulata
Heliophorus androcles tytleri,Heliophorus tytleri
Heliophorus androcles,"Ilerda androcles, Ilerda viridis"
Heliophorus bakeri,Heliophorus vernalis
Heliophorus brahma major,Heliophorus major
Heliophorus brahma mogoka,Heliophorus mogoka
Heliophorus brahma,Ilerda brahma
Heliophorus brilliantinus,
Heliophorus cantliei,
Heliophorus delacouri,
Heliophorus epicles latilimbata,"Ilerda latilimbata, Heliophorus latilimbata, Ilerda rufonotata"
Heliophorus epicles phoenicoparyphus,Thecla phoenicoparyphus
Heliophorus epicles sumatrensis,Ilerda sumatrensis
Heliophorus epicles tweediei,Heliophorus tweediei
Heliophorus epicles,"Ilerda hilima, Polyommatus epicles, Heliophorus belenus"
Heliophorus eventa,"Heliophorus rufa, Heliophorus verna, Heliophorus naxi"
Heliophorus forficatus,
Heliophorus gloria,
Heliophorus hybrida,Ilerda hybrida
Heliophorus ila chinensis,Ilerda chinensis
Heliophorus ila malaya,Heliophorus malaya
Heliophorus ila matsumurae,"Ilerda matsumurae, Ilerda sakaii, Ilerda poliensis"
Heliophorus ila nolus,Heliophorus nolus
Heliophorus ila pseudonexus,Heliophorus pseudonexus
Heliophorus ila urius,Heliophorus urius
Heliophorus ila,Ilerda ila
Heliophorus indicus,Ilerda indicus
Heliophorus kiana,Sithon kiana
Heliophorus kohimensis elioti,Heliophorus elioti
Heliophorus kohimensis,Ilerda kohimensis
Heliophorus moorei coruscans,"Ilerda coruscans, Ilerda langii"
Heliophorus moorei,"Ilerda moorei, Heliophorus scintillans"
Heliophorus oda,Ilerda oda
Heliophorus pulcher,
Heliophorus saphir,"Ilerda marica, Thecla saphir, Heliophorus birmana"
Heliophorus saphirioides,
Heliophorus sena,Polyommatus sena
Heliophorus smaragdinus,
Heliophorus stoetzneri,Ilerda stoetzneri
Heliophorus tamu kala,Ilerda kala
Heliophorus tamu smithi,Heliophorus smithi
Heliophorus tamu,"Ilerda viridipunctata, Polyommatus tamu"
Heliophorus teysmanni,Polyommatus teysmanni
Heliophorus yunnani,
Hemiargus hanno antibubastus,"Rusticus bubastus, Argus pseudoptiletes, Hemiargus antibubastus"
Hemiargus hanno astenidas,"Lampides zachaeina, Lycaena astenidas"
Hemiargus hanno bogotana,Hemiargus bogotana
Hemiargus hanno ceraunus,"Hemiargus watsoni, Hesperia ceraunus"
Hemiargus hanno filenus,"Polyommatus philenus, Polyommatus filenus"
Hemiargus hanno gyas,"Lycaena astragala, Lycaena florencia, Lycaena gyas"
Hemiargus hanno,"Papilio hanno, Lycaena hanno  , Hemiagrus hanno"
Hemiargus huntingtoni continentalis,Hemiargus continentalis
Hemiargus huntingtoni hannoides,Hemiargus hannoides
Hemiargus huntingtoni,Echinargus huntingtoni
Hemiargus martha,Lycoena martha
Hemiargus ramon,Lycoena ramon
Hemiolaus caeculus littoralis,Hemiolaus littoralis
Hemiolaus caeculus tsodiloensis,Iolaus tsodiloensis
Hemiolaus caeculus,"Hypolycaena duponti, Jolaus caeculus, Hypolycaena dolores, Hypolycaena obscurus, Hypolycaena caeculus  , Iolaus caeculus"
Hemiolaus ceres,"Hypolycaena mabillei, Myrina ceres, Iolaus ceres"
Hemiolaus cobaltina,"Hypolycaena margites, Hypolycaena cobaltina, Iolaus cobaltina  , Hemiolaus varnieri"
Hemiolaus maryra,"Hypolycaena maryra, Iolaus maryra"
Hemiolaus vividus,
Hewitola decellei,"Epitola decellei, Cerautola decellei"
Hewitola hewitsonii,"Amblypodia hewitsonii, Epitola falkensteini, Epitola falkensteinii"
Hewitola hewitsonioides,"Epitola hewitsonioides, Cerautola hewitsonioides"
Hewitola stempfferi,"Epitola stempfferi, Amblypodia hewitsoni  , Cerautola hewitsoni  , Cerautola stempfferi"
Hewitsonia amieti,
Hewitsonia beryllina,
Hewitsonia bitjeana,
Hewitsonia boisduvalii,"Hewitsonia borealis, Hewitsonia nigeriensis, Corydon boisduvalii"
Hewitsonia congoensis,"Hewitsonia virilis, Hewitsoniia albifascia"
Hewitsonia danane,"Hewitsonia dennisangwina, Hewitsonia danae"
Hewitsonia inexpectata,
Hewitsonia intermedia,
Hewitsonia kirbyi preussi,"Hewitsonia gomensis, Hewitsonia preussi, Hewitsonia sankuru"
Hewitsonia kirbyi,Hewitsonia kirbii
Hewitsonia kuehnei,
Hewitsonia magdalenae,
Hewitsonia occidentalis,
Hewitsonia prouvosti,
Hewitsonia similis,Hypophytala similis
Hewitsonia ugandae jolyana,Hewitsonia jolyana
Hewitsonia ugandae,
Horaga albimacula albistigmata,Horaga albistigmata
Horaga albimacula anara,Horaga anara
Horaga albimacula anytus,Sithon anytus
Horaga albimacula bellula,Horaga bellula
Horaga albimacula ohkuboi,Horaga ohkuboi
Horaga albimacula singularis,Horaga singularis
Horaga albimacula triumphalis,Horaga triumphalis
Horaga albimacula viola,Horaga viola
Horaga albimacula,"""sithon"" albimacula"
Horaga amethystus isna,Horaga isna
Horaga amethystus overdijkinki,Horaga overdijkinki
Horaga amethystus purpurescens,Horaga purpurescens
Horaga amethystus sibutuensis,Horaga sibutuensis
Horaga amethystus,"Myrina ciniata, Horaga samoena"
Horaga bilineata,
Horaga chalcedonyx dianae,Horaga dianae
Horaga chalcedonyx malaya,Horaga malaya
Horaga chalcedonyx meridionalis,Horaga meridionalis
Horaga chalcedonyx taweya,Horaga taweya
Horaga chalcedonyx violetta,Horaga violetta
Horaga chalcedonyx,Horaga onyxitis
Horaga elizabethae,
Horaga lefebvrei osma,"Horaga osma, Horaca melera"
Horaga lefebvrei osmana,Horaga osmana
Horaga lefebvrei,"Rathinda cuzneri, Myrina lefebvrei"
Horaga natsumiae,
Horaga onychina,"Horaga holothura, Sithon onychina"
Horaga onyx akronyx,Horaga akronyx
Horaga onyx asakurai,Horaga asakurai
Horaga onyx cingalensis,Horaga cingalensis
Horaga onyx fruhstorferi,Horaga fruhstorferi
Horaga onyx hainanus,Horaga hainanus
Horaga onyx rana,Horaga rana
Horaga onyx sardonyx,Horaga sardonyx
Horaga onyx zuniga,Horaga zuniga
Horaga onyx,"Thecla onyx, Horaga arta, Myrina onyx"
Horaga pseudosyrinx,
Horaga rarasana,
Horaga selina,
Horaga sohmai,
Horaga syrinx artontes,Horaga artontes
Horaga syrinx ashinica,Horaga ashinica
Horaga syrinx camiguina,"Horaga camiguina, Horaga katoi"
Horaga syrinx decolor,Sithon decolor
Horaga syrinx incerta,Horaga incerta
Horaga syrinx joloana,Horaga joloana
Horaga syrinx maenala,"Myrina maenala, Horaga affinis, Horaga corniculum, Horaga halba"
Horaga syrinx moulmeina,Horaga moulmeina
Horaga syrinx paullus,Horaga paullus
Horaga syrinx permagna,Horaga permagna
Horaga syrinx privigna,Horaga privigna
Horaga syrinx schoutensis,Horaga schoutensis
Horaga syrinx sikkima,Horaga sikkima
Horaga syrinx,Myrina syrinx
Horaga takanamii,
Horaga uedai,
Howarthia caelestis derani,Howarthia derani
Howarthia caelestis elegans,Howarthia elegans
Howarthia caelestis,"Thecla caelestis, Howarthia coelestis"
Howarthia cheni,
Howarthia hishikawai,
Howarthia kimurai,
Howarthia melli fujiokai,Howarthia fujiokai
Howarthia melli,Zephyrus melli
Howarthia nigricans,Zephyrus nigricans
Howarthia sakakibarai,
Howarthia wakaharai,
Howarthia watanabei,
Howarthia yukinobui,
Hypaurotis crysalus citima,Thecla citima
Hypaurotis crysalus intermedia,Hypaurotis intermedia
Hypaurotis crysalus,Thecla crysalus
Hypochlorosis ancharia tenebrosa,Hypochlorosis tenebrosa
Hypochlorosis ancharia,"Pseudonotis humboldti, Myrina ancharia"
Hypochlorosis antipha metilia,Pseudonotis metilia
Hypochlorosis antipha,Myrina antipha
Hypochlorosis buruana,
Hypochlorosis lorquinii,"Myrina lorquinii, Sithon lorquinii"
Hypochlorosis obiana,Pseudonotis obiana
Hypochrysops akirai,
Hypochrysops alyattes aristocles,"Hypochrysops aristocles, Miletus aristocles"
Hypochrysops alyattes,Miletus alyattes
Hypochrysops anacletus lato,Hypochrysops lato
Hypochrysops anacletus,Thecla anacletus
Hypochrysops antiphon,Miletus antiphon
Hypochrysops apelles praeclarus,"Hypochrysops singkepe, Miletus praeclarus, Miletus major"
Hypochrysops apelles,Papilio apelles
Hypochrysops apollo phoebus,Miletus phoebus
Hypochrysops apollo wendisi,Hypochrysops wendisi
Hypochrysops apollo,Miletus apollo
Hypochrysops architas cratevas,Hypochrysops cratevas
Hypochrysops architas marie,Hypochrysops marie
Hypochrysops architas seuthes,Hypochrysops seuthes
Hypochrysops architas,
Hypochrysops argyriorufa,
Hypochrysops aristobul,"Hypochrysops emilia, Hypochrysops emiliae, Miletus aristobul, Hypochrysops emylia"
Hypochrysops arronica honora,Hypochrysops honora
Hypochrysops arronica,Thecla arronica
Hypochrysops aurantiaca,
Hypochrysops bakeri,Waigeum bakeri
Hypochrysops byzos,"Hypochrysops hecalius, Lycaena? byzos"
Hypochrysops calliphon,
Hypochrysops castaneus,
Hypochrysops chrysanthis,Thecla chrysanthis
Hypochrysops chrysargyra,"Deudoryx meeki, Iraota aurigena, Hypochrysops gemma"
Hypochrysops cleon,
Hypochrysops cleonides,
Hypochrysops coelisparsus exoticus,Hypochrysops exoticus
Hypochrysops coelisparsus kerri,Hypochrysops kerri
Hypochrysops coelisparsus,Miletus coelisparsus
Hypochrysops cyane,Miletus cyane
Hypochrysops delicia duaringae,Miletus duaringae
Hypochrysops delicia,"Miletus delos, Hypochrysops regina"
Hypochrysops detanii,
Hypochrysops dicomas rufinus,Hypochrysops rufinus
Hypochrysops dicomas,
Hypochrysops digglesii gerritsi,Hypochrysops gerritsi
Hypochrysops digglesii,Pseudodipsas digglesii
Hypochrysops dinawa,"Waigeum anadyomenon, Waigeum dinawa, Waigeum triumphans"
Hypochrysops dohertyi lucilla,Hypochrysops lucilla
Hypochrysops dohertyi,
Hypochrysops doleschallii,Thecla doleschallii
Hypochrysops elgneri barnardi,Hypochrysops barnardi
Hypochrysops elgneri,Miletus elgneri
Hypochrysops epicurus,
Hypochrysops felderi,
Hypochrysops ferrugineus,Hypochrysops ferruguineus
Hypochrysops fuscus,
Hypochrysops geminatus,
Hypochrysops halyaetus,Polyommatus uranites
Hypochrysops herdonius,"Miletus modestus, Hypochrysops boisduvali, Waigeum resplendens"
Hypochrysops hermogenes,
Hypochrysops heros imogena,Hypochrysops imogena
Hypochrysops heros polemon,Miletus polemon
Hypochrysops heros,"Waigeum mioswara, Hypochrysops mioswara, Hypochrysops echo"
Hypochrysops hippuris nebulosis,Hypochrysops nebulosis
Hypochrysops hippuris,
Hypochrysops hypates zeuxis,Hypochrysops zeuxis
Hypochrysops hypates,
Hypochrysops ignita chrysonotus,Hypochrysops chrysonotus
Hypochrysops ignita chrysotoxus,Hypochrysops chrysotoxus
Hypochrysops ignita erythrina,Miletus erythrina
Hypochrysops ignita olliffi,Hypochrysops olliffi
Hypochrysops ignita,Lycaena ignita
Hypochrysops julie,
