Sample_ID,Voucher_ID ,Project_Code,Gene_Kit ,Voucher_Institution,Specimen_Provider ,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,Sub-Species,Valid_Name,Tissue_Type,Voucher_Type,Sex,Country,Province,Island,Locality,Latitude,Longitude,Elevation ,Collection_Date,Collection_Day,Collection_Month,Collection_Year,Collector,Specimen_Identified_by,Type_Species,Out_Group,Priority_level,Submission_Code,Submission_Date
HD-17-Q465,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Nusa Tunggara,Sumba,,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q466,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q467,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Timika,Papua,,,,,,,January,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q468,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q469,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q470,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Kalimantan,Borneo,,,,,,,August,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q471,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q472,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q473,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q474,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Seram,,,,,,,August,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q475,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q476,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Nusa Tunggara,Sumba,,,,,,,February,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q477,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,East Nusa Tenggara,Timor,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q478,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,East Nusa Tenggara,Timor,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q479,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,February,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q480,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Java,Java,Mt. Halimun,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q481,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q482,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,South East Sulawesi,Tomea,,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q483,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q484,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q485,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q486,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q487,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,Coeliadinae,,,Hasora,,,Hasora ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q488,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,East Java,Java,Mt. Argopuro,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q489,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q490,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,,,Tagiades ,,papered,,Indonesia,West Nusa Tunggara,Sumba,,,,,,,February,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q491,,Hesp,,CCNY,Hiromi Detani,Papilionoidea,Hesperiidae,Hesperiinae,,,Notocrypta,,,Notocrypta ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q492,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,,,Tagiades ,,papered,,Indonesia,East Nusa Tenggara,Timor,,,,,,,June,2010,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q493,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Obi,,,,,,,July,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q494,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q495,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,North Maluku,Morotai,,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q496,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q497,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q498,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Jambi,Sumatra,Sungai Benu,,,,5/5/2017,5,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q499,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Kei Kecil,,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q500,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q501,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q502,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,North Sumatra,Sumatra,Silalahi,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q503,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,,,,,,,August,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q504,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Jambi,Sumatra,Sungai Benu,,,,4/29/2017,29,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q505,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,North Sumatra,Sumatra,Silalahi,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q506,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,South East Sulawesi,Muna,,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q507,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,North Maluku,Morotai,,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q508,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q509,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,,,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q510,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,male,Indonesia,Central Sulawesi,Sulawesi,Puncak Palopo,,,,,,December,2016,,,,,,CCNY-BN-006,17-Dec-17
