SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
22,22,Hesp,,,,Papilionoidea,Hesperiidae,,,,Badamia,exclamationis,,Badamia exclamationis,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,4. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
23,23,Hesp,,,,Papilionoidea,Hesperiidae,,,,Sarangesa,dasahara,dasahara,Sarangesa dasahara,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,5. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
24,24,Hesp,,,,Papilionoidea,Hesperiidae,,,,Isma,iapis,iapis,Isma iapis,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,13. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
25,25,Hesp,,,,Papilionoidea,Hesperiidae,,,,Celaenorrhinus,cameroni,cameroni,Celaenorrhinus cameroni,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,14. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
26,26,Hesp,,,,Papilionoidea,Hesperiidae,,,,Erionota,hiraca,apicalis,Erionota hiraca,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,17. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
27,27,Hesp,,,,Papilionoidea,Hesperiidae,,,,Unkana,ambasa,batara,Unkana ambasa,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,17. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
28,28,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tagiades,japetus,atticus,Tagiades japetus,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,17. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
29,29,Hesp,,,,Papilionoidea,Hesperiidae,,,,Notocrypta,clavata,theba,Notocrypta clavata,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,17. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
30,30,Hesp,,,,Papilionoidea,Hesperiidae,,,,Parnara,bada,bada,Parnara bada,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,17. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
31,31,Hesp,,,,Papilionoidea,Hesperiidae,,,,Ganagara,thyrsis,thrsis,Ganagara thyrsis,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,8. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
32,32,Hesp,,,,Papilionoidea,Hesperiidae,,,,Zographetus,ogygia,ogygia,Zographetus ogygia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,22. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
33,33,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,schoenherr,chuza,Hasora schoenherr,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,22. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
34,34,Hesp,,,,Papilionoidea,Hesperiidae,,,,Erionota,hiraca,apicalis,Erionota hiraca,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,21. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
35,35,Hesp,,,,Papilionoidea,Hesperiidae,,,,Zela,smaragdinus,,Zela smaragdinus,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,30. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
36,36,Hesp,,,,Papilionoidea,Hesperiidae,,,,Notocrypta,curvifascia,corinda,Notocrypta curvifascia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,30. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
37,37,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tagiades,ultra,,Tagiades ultra,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,31. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
38,38,Hesp,,,,Papilionoidea,Hesperiidae,,,,Isma,umbrosa,umbrosa,Isma umbrosa,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,31. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
39,39,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pirdana,hyela,rudolphii,Pirdana hyela,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,6. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
40,40,Hesp,,,,Papilionoidea,Hesperiidae,,,,Ganagara,lebadea,lebadea,Ganagara lebadea,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,31. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
41,41,Hesp,,,,Papilionoidea,Hesperiidae,,,,Borbo,cinnara,,Borbo cinnara,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
42,42,Hesp,,,,Papilionoidea,Hesperiidae,,,,Oriens,gola,pseudolus,Oriens gola,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2-Aug-16,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
43,43,Hesp,,,,Papilionoidea,Hesperiidae,,,,Burara,harisa,consobrina,Burara harisa,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
44,44,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,vitta,vitta,Hasora vitta,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
45,45,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tagiades,gana,gana,Tagiades gana,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
46,46,Hesp,,,,Papilionoidea,Hesperiidae,,,,Celaenorrhinus,asmara,asmara,Celaenorrhinus asmara,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
47,47,Hesp,,,,Papilionoidea,Hesperiidae,,,,Potanthus,juno,,Potanthus juno,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,3. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
