SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
DL-10-Z119,,Amat,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Faunis,phaon,,Faunis phaon,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/5/2010,5,August,2010,David J. Lohman ,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z129,,Dana,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Danainae,Danaini,,Parantica,vitrina,vitrina,Parantica vitrina,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/5/2010,5,August,2010,David J. Lohman ,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z144,,"Pier, Genu",450,CCNY,,Papilionoidea,Pieridae,Pierinae,Pierini,,Saletara,panda,,Saletara panda,abdomen,alcoholic,unknown,Philippines,Luzon,Aurora,Davil-Davilan Barangay,15.4083,121.3917,350,6-Aug-10,6,August,2010,David J. Lohman ,David J. Lohman,x,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z152,,SEAB,13,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Ragadia,luzonia,,Ragadia luzonia,abdomen,alcoholic,unknown,Philippines,Luzon,Aurora,Davil-Davilan Barangay,15.4083,121.3917,350,6-Aug-10,6,August,2010,David J. Lohman ,David J. Lohman,,,3,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z154,,"SEAB, Genu",450,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Acrophtalmia,artemis,,Acrophtalmia artemis,abdomen,alcoholic,unknown,Philippines,Luzon,Aurora,Davil-Davilan Barangay,15.4083,121.3917,350,6-Aug-10,6,August,2010,David J. Lohman ,David J. Lohman,x,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z154,,"SEAB, Genu",450,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Acrophtalmia,artemis,artemis,Acrophtalmia artemis,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/6/2010,6,August,2010,David J. Lohman ,David J. Lohman,X,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z164,DL-10-Z164,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitinae,Adoliadini,,Tanaecia,calliphorus,calliphorus,Tanaecia calliphorus,abdomen,papered,,Philippines,Luzon,Aurora,Davil-Davilan Barangay,15.4083,121.3917,350,6-Aug-10,6,August,2010,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-003,28-Feb-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z165,,Adol,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Limenitidinae,Adoliadini,,Euthalia,lusiada,lusiada,Euthalia lusiada,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/6/2010,6,August,2010,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z167,,Adol,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Limenitidinae,Neptini,,Lasippa,illigera,illigera,Lasippa illigera,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/6/2010,6,August,2010,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-10-Z193,,Dana,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Danainae,Danaini,,Euploea,swainson,swainson,Euploea swainson,abdomen,alcoholic,,Philippines,Aurora,Luzon,Davil-Davilan Barangay,15.4083,121.3917,350,8/9/2010,9,August,2010,David J. Lohman ,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-E022,,Jami,13,CCNY,David J. Lohman,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,celeno,lydanus,Jamides celeno,abdomen,alcoholic,male,Philippines,Cebu,Cebu,"Cebu City, Brgy Tabunan",10.4388,123.854,640,7/16/2011,16,July,2011,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-E043,,"Pier, Genu",450,CCNY,,Papilionoidea,Pieridae,Coliadinae,,,Gandaca,harina,,Gandaca harina,abdomen,alcoholic,unknown,Philippines,Cebu,Cebu,"Cebu City, Brgy Tabunan",10.4388,123.8539,640,17-Jul-11,17,July,2011,David J. Lohman,David J. Lohman,x,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q033,,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,,Athyma,alcamene,alcamene,Athyma alcamene,abdomen,ethanol,,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7846,123.91006,114,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q038,,Jami,13,CCNY,David J. Lohman,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,philatus,osias,Jamides philatus,abdomen,alcoholic,female,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7846,123.91006,114,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q043,,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,,Tarattia,cosmia,cosmia,Tarattia cosmia,abdomen,RNAlater,,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7845,123.91,114,9/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q054,,Jami,13,CCNY,David J. Lohman,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,callistus,callistus,Jamides callistus,abdomen,alcoholic,,Philippines,Bohol,Bohol,Antequera,9.76724,123.89262,81,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q056,,Amat,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Faunis,sappho,,Faunis sappho,abdomen,alcoholic,,Philippines,Bohol,Bohol,Antequera,9.76724,123.89262,81,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q071,,Amat,13,CCNY,,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Faunis,sappho,,Faunis sappho,abdomen,RNAlater,unknown,Philippines,Bohol,Bohol,Jagna,9.7383,124.3434,620,12-Jul-11,12,July,2011,David J. Lohman,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-Q134,,SEAB,13,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Ptychandra,leucogyne,,Ptychandra leucogyne,abdomen,RNAlater,unknown,Philippines,Cebu,Cebu,"Cebu City, Brgy Tabunan",10.4388,123.8539,640,18-Jul-11,18,July,2011,David J. Lohman,David J. Lohman,,,3,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-R003,,"Amat, Genu",450,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Satyrinae,Zetherini,,Zethera,pimplea,pimplea,Zethera pimplea,abdomen,RNAlater,female,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7846,123.91006,114,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,X,X,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-R003,,"SEAB, Genu",450,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Zetherini,,Zethera,pimplea,,Zethera pimplea,abdomen,RNAlater,female,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7845,123.91006,114,10-Jul-11,10,July,2011,David J. Lohman,David J. Lohman,x,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-R004,,Amat,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Satyrinae,Zetherini,,Zethera,thermaea,,Zethera thermaea,abdomen,RNAlater,unknown,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.7846,123.91006,114,7/10/2011,10,July,2011,David J. Lohman,David J. Lohman,,X,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-R004,,SEAB,13,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Zetherini,,Zethera,thermaea,,Zethera thermaea,abdomen,RNAlater,unknown,Philippines,Bohol,Bohol,"Antequera, Mag-Aso Falls",9.78459,123.91006,114,10-Jul-11,10,July,2011,David J. Lohman,David J. Lohman,,,3,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-11-R018,,Amat,13,CCNY,,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Discophora,philippina,,Discophora philippina,abdomen,RNAlater,male,Philippines,Cebu,Cebu,"Cebu City, Brgy Tabunan",10.4388,123.8539,640,17-Jul-11,17,July,2011,David J. Lohman,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A018,,Amat,13,CCNY,,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Amathusia,virgata,,Amathusia virgata,abdomen,alcoholic,unknown,Indonesia,Sulawesi,Central Sulawesi,"Toro, Lore Lindu NP",-1.4919,120.033,800,14-Jun-12,14,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A018,,Amat,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Amathusia,virgata,thoanthea,Amathusia virgata,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Toro, Lore Lindu NP",-1.492,120.033,800,6/14/2012,14,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A019,,Dana,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Euploea,redtenbacheri,redtenbacheri,Euploea redtenbacheri,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Toro, Lore Lindu NP",-1.492,120.033,800,6/14/2012,14,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A025,,Dana,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Euploea,algea,duponchelii,Euploea algea,abdomen,alcoholic,female,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-3.0091,128.1141,5,6/23/2012,23,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A026,DL-12-A026,"Deli, Pier",13,CCNY,,Papilionoidea,Pieridae,Pierinae,Pierini,,Delias,diaphana,,Delias diaphana,abdomen,alcoholic,unknown,Philippines,North Cotabato,Mindanao,"Kidapawan City, Brgy Illomavis, Mt. Apo",7.0189 N,125.2231 E,1300,14,July,2012,14-Jul-12,David J. Lohman,David J. Lohman,,,2,CCNY-BN-001,2016,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A037,,Genu,450,CCNY,,Papilionoidea,Nymphalidae,Nymphalinae,Victoriniini,,Rhinopalpa,polynice,,Rhinopalpa polynice,abdomen,alcoholic,unknown,Philippines,Negros,Negros Occidental,"Murcia, Brgy Minoyan, Mambukal",10.50939,123.119,450,24-Jul-12,24,July,2012,David J. Lohman,David J. Lohman,x,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A042,,Amat,13,CCNY,,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Discophora,dodong,,Discophora dodong,abdomen,alcoholic,unknown,Philippines,Negros,Negros Occidental,"Murcia, Brgy Minoyan, Mambukal",10.50939,123.119,450,25-Jul-12,25,July,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A042,,Amat,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Discophora,dodong,,Discophora dodong,abdomen,alcoholic,,Philippines,Negros Occidental,Negros,"Murcia, Brgy Minoyan, Mambukal",10.5094,123.119,450,7/25/2012,25,July,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A059,,"Dana, Genu",450,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Idea,idea,idea,Idea idea,abdomen,alcoholic,,Indonesia,Maluku,Seram,Manusela National Park,-2.9831,129.1884,120,6/27/2012,27,June,2012,David J. Lohman,David J. Lohman,X,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A060,,Dana,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Euploea,magou,,Euploea magou,abdomen,alcoholic,,Indonesia,Maluku,Seram,Manusela National Park,-2.9831,129.1884,120,6/27/2012,27,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A076,DL-12-A076,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitinae,Adoliadini,,Lexias,satrapes,,Lexias satrapes,abdomen,papered,,Philippines,Negros,Negros Occidental,"Murcia, Brgy Minoyan,  Mambukal",10.5094,123.119,450,26-Jul-12,26,July,2012,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-003,28-Feb-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A077,DL-12-A077,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitinae,Adoliadini,,Tanaecia,howarthi,,Tanaecia howarthi,abdomen,papered,,Philippines,Negros,Negros Occidental,"Murcia, Brgy Minoyan,  Mambukal",10.5094,123.119,450,26-Jul-12,26,July,2012,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-003,28-Feb-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-A077,,Adol,13,CCNY,David J. Lohman,Papilionoidea,Nymphalidae,Limenitidinae,Adoliadini,,Tanaecia,lupina,howarthi,Tanaecia lupina,abdomen,alcoholic,,Philippines,Negros Occidental,Negros,"Murcia, Brgy Minoyan,  Mambukal",10.5094,123.119,450,7/26/2012,26,July,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E005,DL-12-E005,"Deli, Pier",13,CCNY,,Papilionoidea,Pieridae,Pierinae,Pierini,,Delias,rosenbergi,chrysoleuca,Delias rosenbergi,abdomen,alcoholic,unknown,Indonesia,Central Sulawesi,Sulawesi,"Bobo, lore Lindu NP",1.116 S,120.001 E,800,10,June,2012,10-Jun-12,David J. Lohman,David J. Lohman,,,2,CCNY-BN-001,2016,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E006,,Pier,13,CCNY,,Papilionoidea,Pieridae,Pierinae,,,Belenois,java,,Belenois java,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,,-1.0481,119.9502,155,10-Jun-12,10,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-011,22-May-18,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E010,,Dana,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Euploea,hewitsonii,hewitsonii,Euploea hewitsonii,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/10/2012,10,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E012,,Amat,13,CCNY,,Papilionoidea,Nymphalidae,Morphinae,Amathusiini,,Faunis,menado,,Faunis menado,abdomen,alcoholic,unknown,Indonesia,Sulawesi,Central Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,10-Jun-12,10,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E014,,SEAB,13,CCNY,,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Orsotriaena,jopas,,Orsotriaena jopas,abdomen,alcoholic,unknown,Indonesia,Sulawesi,Central Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,10-Jun-12,10,June,2012,David J. Lohman,David J. Lohman,,,3,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E021,,"Cyre,Genu",450,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Cyrestinae,Cyrestini,,Cyrestis,thyonneus,celebensis,Cyrestis thyonneus,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/10/2012,10,June,2012,David J. Lohman,David J. Lohman,X,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E025,,Spec,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Nymphalinae,Kallimini,,Doleschallia,polibete,,Doleschallia polibete,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/10/2012,10,June,2012,David J. Lohman,David J. Lohman,,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E026,,SEAB,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Heliconiinae,Vagrantini,,Cupha,maeonides,maeonides,Cupha maeonides,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/10/2012,10,June,2012,David J. Lohman,David J. Lohman,,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E027,,Adol,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,,Parasarpa,lymire,,Parasarpa lymire,abdomen,ethanol,unknown,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/10/2012,10,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E039,,Genu,450,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,,Bletogona,mycalesis,,Bletogona mycalesis,abdomen,alcoholic,,Indonesia,Central Sulawesi,Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,6/11/2012,11,June,2012,David J. Lohman,David J. Lohman,X,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E040,,"Pier, Eure",13,CCNY,,Papilionoidea,Pieridae,Coliadinae,,,Eurema,tominia,,Eurema tominia,abdomen,alcoholic,unknown,Indonesia,Sulawesi,Central Sulawesi,"Bobo, Lore Lindu NP",-1.116,120.001,800,11-Jun-12,11,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E055,,Adol,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Limenitidinae,Neptini,,Pantoporia,antara,,Pantoporia antara,abdomen,ethanol,unknown,Indonesia,Central Sulawesi,Sulawesi,"Toro, Lore Lindu NP",-1.492,120.033,800,6/14/2012,14,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E056,,Adol,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,,Athyma,libnites,,Athyma libnites,abdomen,ethanol,unknown,Indonesia,Central Sulawesi,Sulawesi,"Toro, Lore Lindu NP",-1.492,120.033,800,6/14/2012,14,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E062,,Pier,13,CCNY,,Papilionoidea,Pieridae,Pierinae,Pierini,,Appias,zarinda,,Appias zarinda,abdomen,alcoholic,unknown,Indonesia,Sulawesi,Gorontalo,"Lombongo, Bogani Nani Wartabone NP",-0.53639,123.17459,0,18-Jun-12,18,June,2012,Yusep Synata,David J. Lohman,,,2,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E082,,Jami,13,CCNY,Djunijanti Peggie,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,aratus,aratus,Jamides aratus,abdomen,alcoholic,male,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-13.0091,128.1141,5,6/23/2012,23,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E083,,Jami,13,CCNY,Djunijanti Peggie,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,hylassus,euchylas,Jamides hylassus,abdomen,alcoholic,female,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-13.0091,128.1141,5,6/23/2012,23,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E085,,Dana,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Parantica,cleona,cleona,Parantica cleona,abdomen,alcoholic,,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-3.0058,128.1243,10,6/24/2012,24,June,2012,David J. Lohman,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E093,,Genu,450,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Nymphalinae,Junoniini,,Yoma,sabina,sabina,Yoma sabina,abdomen,alcoholic,,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-3.0058,128.1243,10,6/24/2012,24,June,2012,David J. Lohman,David J. Lohman,X,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E095,,"Pier, Eure",13,CCNY,,Papilionoidea,Pieridae,Coliadinae,,,Eurema,candida,,Eurema candida,abdomen,alcoholic,unknown,Indonesia,Seram,Maluku,"West Seram, Pelita Jaya",-3.00579,128.1243,10,24-Jun-12,24,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-002,2017,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E097,DL-12-E097,"Deli, Pier",13,CCNY,,Papilionoidea,Pieridae,Pierinae,Pierini,,Delias,caeneus,,Delias caeneus,abdomen,alcoholic,female,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",3.005799999 S,128.1243000 E,10,24,June,2012,24-Jun-12,David J. Lohman,Chris J. M∏ller,,,2,CCNY-BN-001,2016,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E097,,"Deli, Pier",13,CCNY,Djunijanti Peggie,Papilionoidea,Pieridae,Pierinae,Pierini,,Delias,ceneus,,Delias ceneus,abdomen,alcoholic,female,Indonesia,Maluku,Seram,"West Seram, Pelita Jaya",-3.0058,128.1243,10,6/24/2012,24,June,2012,David J. Lohman,Chris J. M∏ller,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E115,,Dana,13,RCB-LIPI (MZB),Djunijanti Peggie,Papilionoidea,Nymphalidae,Danainae,Danaini,,Idea,blanchardii,blanchardii,Idea blanchardii,legs,alcoholic,,Indonesia,Gorontalo,Sulawesi,"Lombongo, Bogani Nani Wartabone NP",-0.5364,123.1746,0,6/20/2012,20,June,2012,Yusep Synata,David J. Lohman,,,2,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E119,,Genu,450,CCNY,Djunijanti Peggie,Papilionoidea,Lycaenidae,Theclinae,Hypolycaenini,,Hypolycaena,sipylus,sipylus,Hypolycaena sipylus,abdomen,alcoholic,,Indonesia,Maluku,Seram,Manusela National Park,-2.9991,129.2134,30,6/28/2012,28,June,2012,David J. Lohman,Stefan Schràder,X,,3,CCNY-BN-005,17-Dec-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E124,,Adol,13,CCNY,Djunijanti Peggie,Papilionoidea,Nymphalidae,Limenitidinae,Neptini,,Pantoporia,venilia,venilia,Pantoporia venilia,abdomen,ethanol,unknown,Indonesia,Maluku,Seram,"Central Seram, Manusela NP",-2.9991,129.2134,30,6/29/2012,29,June,2012,David J. Lohman,David J. Lohman,,,1,CCNY-BN-004,15-Nov-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
DL-12-E130,DL-12-E130,Adol,13,CCNY,,Papilionoidea,Nymphalidae,Limenitinae,Adoliadini,,Lexias,panopus,,Lexias panopus,abdomen,papered,,Philippines,Mindanao,North Cotabato,"Kidapawan City, Brgy Ilomavis, Mt. Apo",7.0189,125.2231,1300,14-Jul-12,14,July,2012,David J. Lohman ,David J. Lohman,,,1,CCNY-BN-003,28-Feb-17,Lohman_email_CCNY-All-Submitted-2018.07.11.xls,
